product_number,category_name,deparment_name,manufacturer_name,upc,sku,regular_price,sale_price,description
CE322A,Printer Toner,PHOTO/COMMODITIES,HP,884420854524,1147158,74.99,74.99,Compatible with HP LaserJet Pro CM1415 Color MFP series printers; yellow ink; smart printing technology
910-001601,Wired & USB Mice,COMPUTERS,Logitech,97855063953,1147528,9.99,9.99,High-definition optical technology 3-button design with wheelAmbidextrous design USB connectivity
BR700G,Battery Backup (UPS),ACCESSORIES,APC,731304266792,1182342,116.99,116.99,700VA/20W power handling ability; 354 joules of protection; 120V outlets; boost and trim automatic voltage regulation (AVR); LCD graphics display; disconnected battery notification; 6' cord
TN-450,Printer Toner,PHOTO/COMMODITIES,Brother,12502626770,1183687,55.99,55.99,Black toner cartridge for select Brother laser printers; ISO/IEC 19752 certified
TN-420,Printer Toner,PHOTO/COMMODITIES,Brother,12502626763,1183941,39.99,39.99,Black toner cartridge for select Brother laser printers; ISO/IEC 19752 certified
CE262A,Printer Toner,PHOTO/COMMODITIES,HP,884420186854,1199872,320.99,320.99,"Compatible with select HP Color LaserJet printers; yellow toner; up to 11,000-page yield"
CE263A,Printer Toner,PHOTO/COMMODITIES,HP,884420186861,1199881,320.99,320.99,"Compatible with select HP Color LaserJet printers; magenta toner; up to 11,000-page yield"
CE260A,Printer Toner,PHOTO/COMMODITIES,HP,884420186816,1199909,175.99,175.99,"Compatible with select HP Color LaserJet printers; black toner; up to 8,500-page yield"
CE261A,Printer Toner,PHOTO/COMMODITIES,HP,884420186847,1199927,320.99,320.99,"Compatible with select HP Color LaserJet printers; cyan toner; up to 11,000-page yield"
980-000354,Computer Speakers,COMPUTERS,Logitech,97855060570,1200842,49.99,49.99,"Compatible with PC, Mac and select devices; 30W RMS system power; 2 satellite speakers with 2"" concave-dome drivers; subwoofer with 4"" down-firing-dome driver; stereo RCA and two 3.5mm auxiliary inputs"
WNDR3400-100NAS,Wireless Routers,COMPUTERS,NETGEAR,606449071146,1208844,49.99,49.99,Dual-Band Wireless-NSpeeds up to 600 MbpsNETGEAR genie&#174; appBuilt-in Ethernet and USB connectionsQoS technology
T127520-S,Printer Ink,PHOTO/COMMODITIES,Epson,10343876200,1212729,59.99,59.99,"Yellow, cyan and magenta ink cartridges compatible with Epson WorkForce 630, 633 and 635 printers; for use on plain or glossy photo paper"
T127120-S,Printer Ink,PHOTO/COMMODITIES,Epson,10343876163,1212792,31.99,31.99,"Black ink cartridge compatible with Epson WorkForce 630, 633 and 635 printers; for use on plain or glossy photo paper"
4546B001,Printer Ink,PHOTO/COMMODITIES,Canon,13803124279,1214381,16.99,16.99,Compatible with select Canon PIXMA Printers
4530B001,Printer Ink,PHOTO/COMMODITIES,Canon,13803124262,1214469,18.99,18.99,Black - Inkjet
4550B001,Printer Ink,PHOTO/COMMODITIES,Canon,13803124323,1214487,16.99,16.99,Compatible with select Canon PIXMA printers
4530B008,Printer Ink,PHOTO/COMMODITIES,Canon,660685023147,1214909,62.99,62.99,"Compatible with select Canon printers; black, cyan, magenta and yellow ink cartridges; ChromaLife100+ technology"
980-000402,Gaming Speakers,COMPUTERS,Logitech,97855066466,1231979,119.99,119.99,"Compatible with computers, music players, TVs, DVDs and select gaming systems; 330W total system power; 2.5"" front-firing sealed drivers; 7"" bass-reflex subwoofer; auxiliary and RCA inputs; headphone output"
DP2HDMI,Monitor & Video Cables,ACCESSORIES,StarTech.com,65030830799,1243991,29.99,26.99,Connects 19 pin HDMI Type A to 20 pin DisplayPort; 0.8' length; 2 years warranty
CR259FN#140,Printer Ink,PHOTO/COMMODITIES,HP,885631805961,1260042,45.99,45.99,Combo pack contains 1 black ink cartridge and 1 tricolor ink cartridge
940-000110,PC Gaming Controllers,COMPUTERS,Logitech,97855066954,1260591,19.99,14.99,Cable - USB - PC
DP2VGA2,Monitor & Video Cables,ACCESSORIES,StarTech.com,65030836883,1260689,35.99,35.99,Connects 20 pin DisplayPort to 15 pin HD D-Sub (HD-15); 1.2' length; latched; 2 years warranty
910-001799,Trackballs,COMPUTERS,Logitech,97855070098,1260761,29.99,29.99,Optical technology; sculpted shape; scroll wheel; 4 buttons; wireless design
920-002555,Keyboard & Mouse Combos,COMPUTERS,Logitech,97855066701,1261402,49.99,49.99,Compatible with Windows-based PCs; 2.4GHz wireless technology; Comfort Wave technology; 128-bit AES encryption; palm rest; laser mouse
920-002359,Wireless & Bluetooth Keyboards,COMPUTERS,Logitech,97855065353,1261466,59.99,59.99,Compatible with Windows2.4GHz wireless technologyPerfectStroke key systemBacklit keys with hand proximity detectionSleek and compact design
RVF-00052,Ergonomic Mice,COMPUTERS,Microsoft,885370428216,1261563,59.99,59.99,BlueTrack technology; nano transceiver; touch-to-scroll; ergonomic design
HD2VGAA2,USB Cables & Adapters,ACCESSORIES,StarTech.com,65030850995,1285205,45.99,32.99,Connects HDMI to VGA; up to 1920 x 1200 external resolution; 2 years warranty
920-002836,Keyboard & Mouse Combos,COMPUTERS,Logitech,97855068590,1294039,27.99,27.99,Compatible with Windows-based PCs2.4GHz wireless technology11 hot keysWireless optical mouse
910-001675,Wireless & Bluetooth Mice,COMPUTERS,Logitech,97855066237,1297054,17.99,17.99,Laser tracking Plug-and-Forget nano receiver Logitech advanced 2.4GHz wireless connectivity USB connectivity
DS-70U,LCD Monitors,COMPUTERS,DoubleSight,816220000757,1297773,113.99,113.99,30 ms response time; 350:1 contrast ratio; 375 cd/m&#178; brightness; 800 x 400 resolution; 130&#176; horizontal and 90&#176; vertical viewing angles; USB port
8036701,Lap Desks,ACCESSORIES,Fellowes,43859504602,1298405,34.99,34.99,"Compatible with most laptops up to 17"" or 10 lbs.; in-line copyholder; cooling vents; stabilizing front edge; 360&#174;"
910-001935,Wireless & Bluetooth Mice,COMPUTERS,Logitech,97855068538,1325119,29.99,29.99,Laser technology Unifying receiver Wireless USB interface
NM-RU586-9,Laptop Batteries,PHOTO/COMMODITIES,DENAQ,814352015403,1342203,55.99,55.99,Compatible with select Dell Inspiron laptops; 11.1V of power; 6600 mAh capacity; overcharge protection; smart technology; no memory effect
DQ-PA165002-5517,Laptop Chargers & Adapters,PHOTO/COMMODITIES,DENAQ,814352012235,1342212,20.99,20.99,Compatible with select Acer laptops; charges your laptop; safety fuses; smart technology
DP2DVI2,Monitor & Video Cables,ACCESSORIES,StarTech.com,65030836869,1363436,18.99,14.99,Connects 20 pin DisplayPort to 29 pin combined DVI; 2 years warranty
NM-MU06055-6,Laptop Batteries,PHOTO/COMMODITIES,DENAQ,814352015526,1372359,39.99,39.99,"Compatible with select HP Envy, G-series, Pavilion and Presario laptops; 10.8V of power; 4400 mAh capacity; overcharge protection; smart technology; no memory effect"
MESS1173,Laptop Bags & Cases,PHOTO/COMMODITIES,Mobile Edge,871981005281,1407246,29.99,29.99,"Sleeve - 13.75"" x 17.5"" x 2.2"" - Neoprene - Black"
55937-1041,Laptop Bags & Cases,PHOTO/COMMODITIES,Samsonite,43202565694,1421316,54.99,45.99,"Fits most laptops with up to a 15.6"" display; 1680 ballistic fabric materials; zippered mesh compartment; shoulder straps; Cool Flow back padding"
PLS14BLACK,Laptop Bags & Cases,PHOTO/COMMODITIES,Case Logic,85854168397,1430787,32.99,30.99,Black
920-004536,Keyboard & Mouse Combos,COMPUTERS,Logitech,97855089816,1440638,24.99,24.99,PC and Chrome compatible up to a 32.8' wireless range 9 function keys Multimedia buttons Numeric keypad Mouse scroll wheel On/off switches
P-FD32GTBAT4-GE,USB Flash Drives,DTS,PNY,751492581613,1498843,12.99,6.99,"Data transfer rates up to 115MB/sec.For PC, MacSliding collar with capless designIntegrated loop"
71978-B901,"Tablet Cases, Covers & Keyboard Folios",COMPUTERS,Speck,848709015082,1505097,34.99,25.99,"SPECK StyleFolio Case for Apple iPad mini, iPad mini 2 and iPad mini 3: Compatible with Apple iPad mini, iPad mini 2 and iPad mini 3; full-perimeter outer shell with microfiber inner lining; vegan-leather cover; adjustable stand; locking clasp"
71978-B565,"Tablet Cases, Covers & Keyboard Folios",COMPUTERS,Speck,848709015075,1505193,34.99,20.99,"SPECK StyleFolio Case for Apple iPad mini, iPad mini 2 and iPad mini 3: Compatible with Apple iPad mini, iPad mini 2 and iPad mini 3; full-perimeter outer shell with microfiber inner lining; vegan-leather cover; adjustable stand; locking clasp"
TN315BK,Printer Toner,PHOTO/COMMODITIES,Brother,12502625414,1508914,102.99,102.99,"Compatible with select Brother printers, including HL-4150CDN, HL-4570CDW, HL-4570CDWT and MFC-9460CDN models; black toner; yields approximately 6,000 pages"
TN310C,Printer Toner,PHOTO/COMMODITIES,Brother,12502625384,1508969,64.99,64.99,"Compatible with select Brother printers, including HL-4150CDN, HL-4570CDW, HL-4570CDWT and MFC-9460CDN models; cyan toner; yields approximately 1,500 pages"
TN315Y,Printer Toner,PHOTO/COMMODITIES,Brother,12502625445,1509146,112.99,112.99,"Compatible with select Brother printers, including HL-4150CDN, HL-4570CDW, HL-4570CDWT and MFC-9460CDN models; yellow toner; yields approximately 3,500 pages"
TN310M,Printer Toner,PHOTO/COMMODITIES,Brother,12502625391,1509395,64.99,64.99,"Compatible with select Brother printers, including HL-4150CDN, HL-4570CDW, HL-4570CDWT and MFC-9460CDN models; magenta toner; yields approximately 1,500 pages"
TN310Y,Printer Toner,PHOTO/COMMODITIES,Brother,12502625407,1510036,64.99,64.99,"Yields up to 1,500 pagesCompatible with select Brother Printers"
TN315C,Printer Toner,PHOTO/COMMODITIES,Brother,12502625421,1510285,112.99,112.99,"Compatible with select Brother printers, including HL-4150CDN, HL-4570CDW, HL-4570CDWT and MFC-9460CDN models; cyan toner; yields approximately 3,500 pages"
TN310BK,Printer Toner,PHOTO/COMMODITIES,Brother,12502625377,1510828,59.99,59.99,"Yields up to 2,500 pagesCompatible with select Brother Printers"
TN315M,Printer Toner,PHOTO/COMMODITIES,Brother,12502625438,1510855,112.49,112.49,"Yields up to 3,500 pagesCompatible with select Brother Printers"
ROD NTUSB,Computer Microphones,AUDIO,RØDE,698813003969,1535163,169.99,169.99,"RODE USB Microphone: Compatible with most mainstream recording apps on Windows and Mac computers and Apple iPad; for recording singing, musical performances and spoken applications; zero-latency 3.5mm jack; includes pop filter and tripod stand"
R101,E-Readers & Accessories,COMPUTERS,Velocity Micro,877935002122,1552174,79.99,79.99,"7"" color TFT touch screen; supports ePub, PDF, TXT, PDB, HTML, MP3, WMA, AAC, WAV, H.264, MPEG-4, JPEG, GIF, PNG and BMP formats; 256MB built-in memory; microSD card slot; 802.11b/g wireless connectivity"
NS-PG95503,Tablet A/V Adapters,ACCESSORIES,Insignia™,600603179303,1577417,29.99,29.99,HDMI and VGA connectors; supports up to 1920 x 1080 @ 60Hz resolution; 1350 ohms of conductor resistance; fully shielded with 360&#176; enclosed metal shell
0S03920,Internal Hard Drives,COMPUTERS,HGST,705487198447,1578004,89.99,89.99,Serial ATA interface; data transfer rates up to 998MB/sec.; compatible with PC and Mac
LC-1013PKS,Printer Ink,PHOTO/COMMODITIES,Brother,12502636052,1587228,27.99,24.99,"Compatible with select Brother printers; cyan, magenta and yellow ink cartridges"
LC-101BKS,Printer Ink,PHOTO/COMMODITIES,Brother,12502635833,1587661,14.99,14.99,"Compatible with Brother DCPJ152W, MFCJ245, MFCJ285DW, MFCJ450DW, MFCJ470DW, MFCJ475DW, MFCJ650DW, MFCJ870DW and MFCJ875DW model printers; black ink"
LC-1033PKS,Printer Ink,PHOTO/COMMODITIES,Brother,12502634362,1587689,41.99,36.99,"Compatible with select Brother printers; cyan, magenta and yellow ink cartridges"
DL221CL,Printer Toner,PHOTO/COMMODITIES,Brother,12502634904,1606245,129.99,129.99,"Yields up to 15,000 pagesCompatible with select Brother Printers"
TN225Y,Printer Toner,PHOTO/COMMODITIES,Brother,12502634898,1606254,76.99,76.99,"Yields up to 2,200 pagesCompatible with select Brother Printers"
TN225M,Printer Toner,PHOTO/COMMODITIES,Brother,12502634881,1606263,76.99,76.99,"Yields up to 2,200 pagesCompatible with select Brother Printers"
TN225C,Printer Toner,PHOTO/COMMODITIES,Brother,12502634874,1606272,76.99,76.99,"Yields up to 2,200 pagesCompatible with select Brother Printers"
VW22ATCSM,All Monitors,COMPUTERS,ASUS,886227152780,1634496,149.99,134.99,5 ms response time; 50000000:1 contrast ratio; 250 cd/m&#178; brightness; 1680x1050 resolution; 170&#176; horizontal and 160&#176; vertical viewing angles; D-Sub and  DVI-D input
U022-010,USB Cables & Adapters,ACCESSORIES,Tripp Lite,37332100023,1654453,7.03,7.03,Connects devices with compatible USB 2.0 connectors and interfaces; double shielded technology; data transfer rates up to 480 Mbps; molded; 10' length
VE228H,All Monitors,COMPUTERS,ASUS,610839326068,1655189,109.99,109.99,1000:1 contrast ratio; 250 cd/m&#178; brightness; 1920 x 1080 resolution; 170&#176; horizontal and 160&#176; vertical viewing angles; DVI-D with HDCP input; HDMI input
CMY32GX3M4A1600C9,Desktop Memory,COMPUTERS,CORSAIR,843591042222,1655374,189.99,173.99,Designed for desktops; 32GB of memory; 1600MHz operating speed; enhances overclocking performance; anodized-aluminum heat spreaders
CMY16GX3M2A1600C9,Desktop Memory,COMPUTERS,CORSAIR,843591041881,1655416,99.99,88.99,Designed for desktops; 16GB of memory; 1600MHz operating speed; enhances overclocking performance; anodized-aluminum heat spreaders
70335,PC Game Downloads,INTERACTIVE SOFTWARE,Electronic Arts,400016903676,1690367,9.99,9.99,Dominate the road on a global stage
41990,Graphic Design Software,COMPUTER SOFTWARE,Nova,727298419900,1713749,39.99,39.99,"From banners to brochures, create the prints of your dreams"
MAC681800F001,Maintenance Software,COMPUTER SOFTWARE,Macware,831666554039,1715892,29.99,29.99,Restore your Mac to the performance-levels that meet your expectations
920-002912,Wireless & Bluetooth Keyboards,COMPUTERS,Logitech,97855071613,1722039,49.99,49.99,Wireless - RF - Black - USB - English (Canada) - Computer
DQ-PA-3E-7450,Laptop Chargers & Adapters,PHOTO/COMMODITIES,DENAQ,814352015663,1746184,25.99,25.99,"Compatible with select Dell Inspiron, Latitude, Precision, Studio, Vostro and XPS laptops; 4.6-amp output; 19.5V power rating; 7.4mm to 5mm tip size (outer x inner); safety fuses; smart technology"
P502-006,Monitor & Video Cables,ACCESSORIES,Tripp Lite,37332012319,1746569,15.45,15.45,Compatible with most VGA peripherals; HD D-Sub connectors; foil shielding with braid; molded; 6' length
R7000-100NAS,Wireless Routers,COMPUTERS,NETGEAR,606449099812,1754208,159.99,159.99,Dual-Band Wireless-ACSpeeds up to 1900 MbpsNETGEAR genie&#174; appBeamforming technologyQoS technology
73037,PC Games,INTERACTIVE SOFTWARE,Electronic Arts,14633730371,1762763,39.99,39.99,Get ready to create emotionally rich storylines
WD10JFCX,Internal Hard Drives,COMPUTERS,WD,718037804149,1765078,68.99,68.99,WD Red 1TB Internal SATA NAS Hard Drive (OEM/Bare Drive): Serial ATA interface; shock-resistant; SMART Command Transport support; power management support; command completion; data transfer rates up to 6 Gbps; 16MB cache buffer
AP70NS50,External DVD Drives,COMPUTERS,LG,58231310863,1802033,59.99,44.99,"USB 2.0 interface; slim, portable design; up to 6x DVD+R DL and DVD-R DL, 8x DVD+R and DVD-R write speeds; up to 6x DVD+RW and DVD-RW rewrite speeds; 24x24x24 CD-RW"
GMF-00030,Wireless & Bluetooth Mice,COMPUTERS,Microsoft,885370202175,1805526,19.99,18.99,BlueTrack Technology on/off switch Battery status indicator Ambidextrous design Plug-and-go nano receiver
L3V-00001,Wireless & Bluetooth Keyboards,COMPUTERS,Microsoft,885370595895,1818015,59.99,59.99,Compatible with PC 2.4GHz USB transceiver Tilt-and-scroll wheel Windows Touch tab Windows 8 shortcut keys Ccomfort-curve keys Split space bar Detachable palm rest
L5V-00001,Wireless & Bluetooth Keyboards,COMPUTERS,Microsoft,885370598711,1818024,129.99,129.99,BlueTrack mouse technology 2.4GHz wireless USB receiver Split keyboard layout Reverse keyboard tilt Natural Arc key layout Domed keyboard design Separate numeric keypad Media keys
CARTRIDGE 131 BLACK,Printer Toner,PHOTO/COMMODITIES,Canon,13803151497,1848012,71.99,71.99,Compatible with Canon ImageClass MF8280Cw and ImageClass LBP7110Cw printers; black ink; 1400-page yield
CRG 137,Printer Toner,PHOTO/COMMODITIES,Canon,13803242935,1848021,79.99,79.99,"Compatible with Canon ImageClass MF212w, MF216n, MF227dw and MF229dw printers; black ink toner; 2400-page yield"
CH564WN#140,Printer Ink,PHOTO/COMMODITIES,HP,884962983638,1853055,43.99,43.99,Yields up to 330 pagesCompatible with select HP Printers
CH563WN#140,Printer Ink,PHOTO/COMMODITIES,HP,884962983621,1853073,42.99,42.99,Yields up to 480 pagesCompatible with select HP Printers
P-FD64GTBAT4-GE,USB Flash Drives,DTS,PNY,751492581620,1876003,19.99,10.99,"For PC, MacSliding collar with capless designIntegrated loop"
DISPLPORT10L,Monitor & Video Cables,ACCESSORIES,StarTech.com,65030827829,1900071,20.99,17.99,Connects your computer's DisplayPort interface to a DisplayPort input; aluminum mylar foil with braid shielding; nickel plateds; 9.8' length
3201383,Laptop Bags & Cases,PHOTO/COMMODITIES,Thule,85854221924,1902069,129.99,129.99,Thule Crossover 32L Backpack is made of water-resistant fabrics and zippers combined to create a durable bag made of dobby nylon. Dedicated electronics protection plus plenty of bulk storage and organization pockets with handle and shoulder strap for comfortable use.
TSS65904UUS,Laptop Bags & Cases,PHOTO/COMMODITIES,Targus,92636297510,1902302,27.99,17.99,"Fits most laptops with up to a 15.6"" display; dedicated laptop compartment; front zippered pocket; polyester material; smooth interior lining; textured finish; contrasting accents"
TSS63204US,Laptop Bags & Cases,PHOTO/COMMODITIES,Targus,92636293192,1902311,39.99,27.99,"Fits most laptops with up to a 15.6"" display; dedicated laptop compartment; front zippered pocket; polyester material; smooth interior lining; textured finish; contrasting accents"
41022,Home & Landscape Design,COMPUTER SOFTWARE,Nova,727298410228,1915073,39.99,39.99,The home of your dreams is just a few clicks away
140000,Computer Microphones,AUDIO,Samson,809164012733,1950242,69.99,69.99,20 Hz to 20 kHz - Wired - Condenser - Desktop - USB
VE247H,All Monitors,COMPUTERS,ASUS,610839331574,1965077,136.99,136.99,"Adjustable Display Angle - 1920 x 1080 - 16.7 Million Colors - 300 Nit - 10,000,000:1 - Speakers - DVI - HDMI - VGA - Black - RoHS, WEEE"
GP60NB50,External DVD Drives,COMPUTERS,LG,719192624825,1970008,29.99,29.99,DVD-RAM/&#177;R/&#177;RW Support - 24x CD Read/24x CD Write/24x CD Rewrite - 8x DVD Read/8x DVD Write/8x DVD Rewrite - Double-layer Media Supported - USB 2.0 - Slimline
CE259A,Printer Toner,PHOTO/COMMODITIES,HP,884962419069,1972817,216.99,216.99,"Compatible with HP Color LaserJet CP1515n, CP1518ni, CP1215 and CM1312 MFP model printers; cyan/magenta/yellow toner; up to 1,400-page yield; HP Smart technology"
CN684WN#140,Printer Ink,PHOTO/COMMODITIES,HP,886111234295,1982034,31.99,31.99,"Compatible with select HP Deskjet, PhotoSmart and OfficeJet printers; black ink; 1 cartridge"
JUE130,USB Wi-Fi Adapters,ACCESSORIES,j5create,847626000164,2001047,24.99,24.99,"Compatible with most PC, Mac and Linux computers with an available USB 3.0 port; 10/100/1000 Gigabit Ethernet connectivity; aluminum construction; USB-powered; plug-and-play design"
EPSON CYAN INK T786220-S,Printer Ink,PHOTO/COMMODITIES,Epson,10343911598,2008119,22.99,21.99,Yields up to 800 pagesCompatible with select Epson Printers
BBY-PVJVWE,All Monitors,COMPUTERS,Dell,884116153061,2073028,299.99,299.99,"DELL UltraSharp U2415 24"" IPS LED HD Monitor: 6 ms response time; 2,000,000:1 dynamic contrast ratio; 300 nits brightness; 1920 x 1200 resolution; 178&#176; horizontal and vertical viewing angles; HDMI and DisplayPort inputs"
TLWA850RE,Wi-Fi Extenders,COMPUTERS,TP-Link,845973070687,2080012,19.99,19.99,TP-LINK Wireless N300 Wi-Fi Range Extender with Ethernet Port: Compatible with 802.11b/g/n wireless standards; up to 300 Mbps; 64-/128-/152-bit WEP encryption; WPA-PAK/WPA2-PSK encryption; plug-and-play
TLPA4010KIT,Powerline Adapters,COMPUTERS,TP-Link,845973032029,2080136,39.99,39.99,Powerline AV600 Nano Adapter Starter Kit
TLSG105E,Network Switches,COMPUTERS,TP-Link,845973022037,2080346,24.99,24.99,TP-LINK 5-Port 10/100/1000 Mbps Gigabit Smart Ethernet Metal Switch: Provides simple network management for small or medium business networks with a port-based priority system; 10/100/1000 Mbps speeds
HON787800F221,Utilities Software,COMPUTER SOFTWARE,VIDBOX,882960367832,2131007,69.99,59.99,Analog video to digital format with one click; RCA and S-Video connection; compatible with Mac OS X 10.6 or higher; integration with iMovie; sync and share capabilities
BRACKET,Hard Drive Cables & Accessories,COMPUTERS,StarTech.com,65030777155,2133038,5,5,"Durable all-metal construction; mount a 3.5"" hard drive in a 5.25"" drive bay"
CE314A,Printer Toner,PHOTO/COMMODITIES,HP,884962223352,2148109,89.99,89.99,"HP 126A Image Drum: Compatible with select HP printers; yields up to 7,000 color pages and up to 14,000 black-and-white pages"
CE255XD,Printer Toner,PHOTO/COMMODITIES,HP,885631277102,2173171,450.99,450.99,"Yields up to 25,000 pages total; 12,500 pages per cartridgeCompatible with select HP LaserJet printers"
H4P40AA#ABA,Laptop Bags & Cases,PHOTO/COMMODITIES,HP,888182023778,2269108,31.99,19.99,"Compatible with HP 15, Pavilion 15, Pavilion TouchSmart 15 and Pavilion x360; faux fur material; water resistant"
JGS524PE100NAS,Network Switches,COMPUTERS,NETGEAR,606449098990,2297059,357.99,357.99,Wired; lets you connect up to 24 devices to your network; Gigabit speed; 12 PoE ports; QoS management; desktop and rack-mount options
VM4R,Wired & USB Mice,COMPUTERS,Prestige,852153014119,2380297,99.99,95.99,"6 programmable buttons; scroll wheel; right-handed, vertical design; pointer speed control"
VM4S,Wired & USB Mice,COMPUTERS,Prestige,852153014317,2380358,89.99,89.99,"6 programmable buttons; scroll wheel; right-handed, vertical design; pointer speed control"
8781098,Printer Ink,PHOTO/COMMODITIES,Kodak,41778781098,2383045,34.99,34.99,"Compatible with ESP C110, C310, C315, C100 series, C300 series, ESP 2150, ESP 2170 and ESP 2100 series Kodak printers; 3-color ink and black ink"
NS-PPR5006,Multipurpose Paper,PHOTO/COMMODITIES,Insignia™,600603185793,2449084,5.99,5.99,"Compatible with copiers, inkjet and laser printers and fax machines; 8.5"" x 11"" size; 500 sheets of paper; acid-free"
WD40EFRX,Internal Hard Drives,COMPUTERS,WD,718037810058,2452034,149.99,128.99,Serial ATA interface; Intellipower; low operating temperatures; data transfer rates up to 768MB/sec.
EPSON YELLOW INK T277420-S,Printer Ink,PHOTO/COMMODITIES,Epson,10343902459,2454435,10.99,10.99,Yield up to 360 pagesCompatible with select Epson printers
MSTP3MDPUGBK,Computer Accessories & Peripherals,ACCESSORIES,StarTech.com,65030859110,2464174,93.99,70.99,Compatible with Microsoft Surface Pro 4; supports PC resolutions up to 1920x1200 and HDTV resolutions up to 1080p; hard-wire your network connection; maximize portability; USB 3.0 Gigabit NIC
APCRBC124,Surge Protectors & Power,ACCESSORIES,APC,731304284383,2467369,64.99,60.99,Compatible with select APC backup systems; lead acid chemistry; maintenance-free sealed leakproof design; up to 5 years of expected battery life
CF283A,Printer Toner,PHOTO/COMMODITIES,HP,886112397692,2472926,69.99,69.99,"Compatible with HP LaserJet Pro MFP M125 and M127 series printers; black toner; combined toner and imaging drum; up to 1,500-page yield"
CF350A,Printer Toner,PHOTO/COMMODITIES,HP,886112939281,2557399,60.99,60.99,"Compatible with HP LaserJet Pro Color MFP M176 and M177 series printers; black toner; 1,300-page yield"
VS228TP,All Monitors,COMPUTERS,ASUS,886227845279,2572033,99.99,99.99,"ASUS 21.5"" LED HD Monitor: 5 ms response time; 50,000,000:1 contrast ratio; 250 nits brightness; 1920 x 1080 resolution; 170-degree horizontal and 160-degree vertical viewing angles; DVI and VGA inputs; two 1W stereo speakers"
910-002136,Wireless & Bluetooth Mice,COMPUTERS,Logitech,97855072801,2577677,17.99,17.99,Advanced optical tracking Smooth scroll wheel with tilt navigation Contoured shape Textured rubber grips Smart sleep mode USB interface
